feature,importance,feature_base
task_route_complexity_high,0.21817724406719208,task
task_initial_soc,0.13885559141635895,task
task_drone_count,0.10672380775213242,task
task_route_complexity_low,0.08466104418039322,task
city_zone_transport_hub,0.0819765105843544,city
city_zone_industrial_park,0.0571778379380703,city
wind_speed,0.03396284580230713,wind
task_route_distance,0.027916932478547096,task
gps_error,0.0220415648072958,gps
gust_level_strong,0.019555190578103065,gust
task_payload_rate,0.01838398166000843,task
voltage,0.01779872365295887,voltage
battery_voltage,0.0141386017203331,battery
poi_density_300m,0.013525335118174553,poi
visibility,0.013384534977376461,visibility
transport_hub_exposure,0.01323686446994543,transport
task_route_distance_band_last_mile,0.012398810125887394,task
task_route_distance_band_cross_district,0.011424237862229347,task
commercial_exposure,0.010265933349728584,commercial
gust_level_none,0.00946338102221489,gust
altitude,0.007333079818636179,altitude
task_route_distance_band_urban,0.007161776535212994,task
gust_level_weak,0.006502220872789621,gust
gust_level_medium,0.005744695197790861,gust
battery_soh,0.004157651215791702,battery
nearest_school_distance,0.00392519636079669,nearest
residential_exposure,0.003158495994284749,residential
city_zone_residential,0.002270004479214549,city
task_start_lon,0.00204158341512084,task
city_zone_hospital_school,0.0020410248544067144,city
route_type_corridor,0.002032244112342596,route
wind_direction_random,0.0016845496138557792,wind
route_type_river_crossing,0.0015566282672807574,route
task_cruise_speed,0.0014604635071009398,task
desired_z,0.0014220760203897953,desired
task_hover_seconds,0.001372836995869875,task
y,0.0013559035724028945,y
route_type_detour,0.001313470769673586,route
task_end_lat,0.0012970095267519355,task
task_start_lat,0.0012812885688617826,task
mission_phase_LANDING,0.0012332758633419871,mission
task_route_complexity_medium,0.0012065476039424539,task
time_period_night,0.0011159679852426052,time
longitude,0.0011054332135245204,longitude
task_end_lon,0.0010970373405143619,task
route_type_direct,0.0009892246453091502,route
task_experiment_type_monte_carlo,0.0008842155802994967,task
time_period_evening,0.0008032724726945162,time
city_zone_riverfront,0.0007258334080688655,city
nearest_hospital_distance,0.0006621871143579483,nearest
river_crossing,0.0006585769006051123,river
wind_direction_headwind,0.0006346097798086703,wind
x,0.0006325026624836028,x
wind_direction_tailwind,0.0004970200243405998,wind
time_period_day,0.0004615093639586121,time
latitude,0.0004510493599809706,latitude
building_density_300m,0.0004412661655806005,building
z,0.00035463261883705854,z
wind_direction_crosswind,0.00034680383396334946,wind
nearest_drone_distance,0.00026344158686697483,nearest
task_experiment_type_special,0.00020200878498144448,task
mission_phase_TAKEOFF,0.0001673343504080549,mission
soc,0.00014331225247588009,soc
city_zone_core_business,0.00013437603774946183,city
mission_phase_CRUISE_OUTBOUND,0.00012205416715005413,mission
desired_y,0.00011918601376237348,desired
desired_x,7.183397246990353e-05,desired
mission_phase_CRUISE_RETURN,6.75945047987625e-05,mission
path_error,5.9031106502516195e-05,path
yaw,3.2829662814037874e-05,yaw
energy_consumption,3.153887519147247e-05,energy
speed,2.995494105562102e-05,speed
timestamp,2.4485167159582488e-05,timestamp
torque_z_nm,9.602835234545637e-06,torque
near_miss_count,7.29447356206947e-06,near
vz,6.005670456943335e-06,vz
r_rate,3.5613281852420187e-06,r
vy,3.429582648095675e-06,vy
obstacle_distance,3.040727506231633e-06,obstacle
torque_x_nm,2.39554083236726e-06,torque
total_thrust_n,1.9701615201483946e-06,total
sensitive_poi_count_300m,1.393385559822491e-06,sensitive
pitch,1.3623090353576117e-06,pitch
motor_2_rpm,1.326986762251181e-06,motor
vx,1.2583417401401675e-06,vx
p_rate,1.185728478958481e-06,p
roll,9.592891956344829e-07,roll
conflict_count,8.702563150109199e-07,conflict
motor_1_rpm,8.507839766025427e-07,motor
q_rate,7.982860665833869e-07,q
motor_3_rpm,7.743315109109972e-07,motor
torque_y_nm,4.6490953309330507e-07,torque
motor_4_rpm,2.846499285169557e-07,motor
nearest_building_distance,0.0,nearest
mission_phase_HOVER,0.0,mission
gis_building_source_synthetic_proxy,0.0,gis
